Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Пробег;Руль;Поколение;;;;;
BMW;X3;2017;2649000;https://auto.drom.ru/moscow/bmw/x3/54153936.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;4WD;135 354 км;левый;;серый;;;;
BMW;X6;2017;4490000;https://auto.drom.ru/spb/bmw/x6/51064361.html;Характеристики совпадают с ПТС;;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 3.0 л;313 л.с., налог;АКПП;4WD;131 000 км;левый;2 поколение;серый;;xDrive 40d AT M Sport;;
BMW;X5;2017;4450000;https://auto.drom.ru/kaluga/bmw/x5/54150763.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Есть ограничения;Калуге;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;113 000 км;левый;3 поколение;белый;;xDrive 30d AT M Sport;;
BMW;X6;2017;3132706;https://auto.drom.ru/minsk/bmw/x6/53866375.html;;;;;Минске;бензин, 3.0 л;306 л.с., налог;АКПП;4WD;108 200 км;левый;2 поколение;черный;;sDrive35i AT;;
BMW;5-Series;2017;4440000;https://auto.drom.ru/penza/bmw/5-series/53076184.html;Характеристики совпадают с ПТС;;Не числится в розыске;Ограничений не обнаружено;Пензе;бензин, 2.0 л;249 л.с., налог;АКПП;4WD;53 500 км;левый;7 поколение;серый;седан;530i AT xDrive Luxury;;
BMW;5-Series;2017;3510000;https://auto.drom.ru/himki/bmw/5-series/53485712.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Химках;дизель, 3.0 л;265 л.с., налог;АКПП;4WD;172 044 км;левый;7 поколение;серый;универсал;530d AT xDrive;;
BMW;X5;2017;4400000;https://auto.drom.ru/moscow/bmw/x5/54147129.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;218 л.с., налог;АКПП;4WD;116 000 км;левый;3 поколение;серый;;xDrive 25d AT Business;;
BMW;7-Series;2017;3450000;https://auto.drom.ru/moscow/bmw/7-series/54146233.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;231 л.с., налог;АКПП;4WD;260 000 км;левый;6 поколение;черный;;725Ld AT xDrive Bussiness;;
BMW;7-Series;2017;4100000;https://auto.drom.ru/spb/bmw/7-series/53866387.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 3.0 л;265 л.с., налог;АКПП;4WD;130 000 км;левый;6 поколение;синий;;730Ld AT xDrive Exclusive;;
BMW;M5;2018;7700000;https://auto.drom.ru/moscow/bmw/m5/891164763.html;;;;;Москве;бензин, 4.4 л;600 л.с., налог;АКПП;4WD;57 000 км;левый;6 поколение;серый;седан;4.4 AT M5;;
BMW;3-Series;2018;2500000;https://auto.drom.ru/nizhniy-novgorod/bmw/3-series/50600608.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Нижнем Новгороде;бензин, 2.0 л;184 л.с., налог;АКПП;задний;48 000 км;левый;6 поколение, рестайлинг;черный;седан;;;
BMW;5-Series;2018;3000000;https://auto.drom.ru/moscow/bmw/5-series/53496908.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;задний;180 522 км;левый;7 поколение;черный;седан;;;
BMW;X3;2018;4750000;https://auto.drom.ru/moscow/bmw/x3/53223150.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;81 000 км;левый;3 поколение;синий;;xDrive 20d AT M Sport;;
