Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Тип кузова;Цвет;Пробег;Руль;Поколение;Комплектация;
BMW;X5;2017;4570000;https://auto.drom.ru/spb/bmw/x5/53402322.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 3.0 л;313 л.с., налог;АКПП;4WD;;белый;141 000 км;левый;3 поколение;xDrive 40d AT;
BMW;3-Series;2017;2999999;https://auto.drom.ru/moscow/bmw/3-series/538441748.html;;;;;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;задний;седан;черный;78 500 км;левый;6 поколение, рестайлинг;320i AT Sport;
BMW;4-Series;2017;2761235;https://auto.drom.ru/minsk/bmw/4-series/52494277.html;;;;;Минске;бензин, 2.0 л;249 л.с., налог;АКПП;задний;открытый;белый;67 000 км;левый;1 поколение, рестайлинг;430i AT;
BMW;2-Series Gran Tourer;2017;1800000;https://auto.drom.ru/moscow/bmw/2-series_gran_tourer/48777318.html;;;;;Москве;дизель, 1.5 л;116 л.с., налог;механика;передний;;синий;105 000 км;левый;1 поколение;216d MT;
BMW;X6;2017;4810000;https://auto.drom.ru/spb/bmw/x6/223400559.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 3.0 л;313 л.с., налог;АКПП;4WD;;белый;131 000 км;левый;2 поколение;;
BMW;5-Series;2017;2549000;https://auto.drom.ru/spb/bmw/5-series/353227775.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 2.0 л;190 л.с., налог;АКПП;задний;седан;черный;190 000 км;левый;7 поколение;;
BMW;7-Series;2017;3155350;https://auto.drom.ru/moscow/bmw/7-series/53995128.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;265 л.с., налог;АКПП;4WD;;черный;195 257 км;левый;6 поколение;;
BMW;X5;2017;4999000;https://auto.drom.ru/moscow/bmw/x5/53776371.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;218 л.с., налог;АКПП;4WD;;серый;57 280 км;левый;3 поколение;xDrive 25d AT Business;
BMW;X6;2017;4698000;https://auto.drom.ru/spb/bmw/x6/52959851.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 3.0 л;313 л.с., налог;АКПП;4WD;;черный;130 000 км;левый;2 поколение;;
BMW;5-Series;2017;3660000;https://auto.drom.ru/moscow/bmw/5-series/516563400.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;задний;седан;серый;78 600 км;левый;;;
BMW;1-Series;2017;1950000;https://auto.drom.ru/moscow/bmw/1-series/607620067.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.5 л;136 л.с., налог;АКПП;задний;хэтчбек 5 дв.;красный;72 778 км;левый;2 поколение;;
BMW;5-Series;2017;4990000;https://auto.drom.ru/moscow/bmw/5-series/53492781.html;;;;;Москве;бензин, 4.4 л;462 л.с., налог;АКПП;4WD;седан;черный;59 300 км, без пробега по РФ;левый;7 поколение;M550i AT xDrive;
BMW;5-Series;2017;3295700;https://auto.drom.ru/moscow/bmw/5-series/736190792.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;седан;черный;118 300 км;левый;;;
