Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Тип кузова;Цвет;Пробег;Руль;Поколение;Комплектация;Особые отметки;;
BMW;8-Series;2020;8350000;https://auto.drom.ru/spb/bmw/8-series/693531904.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 3.0 л;320 л.с., налог;АКПП;4WD;седан;белый;17 000 км;левый;2 поколение;;;;
BMW;X1;2020;2999000;https://auto.drom.ru/moscow/bmw/x1/54063690.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;231 л.с., налог;робот;4WD;;серебристый;22 135 км;левый;2 поколение, рестайлинг;sDrive28i AT;;;
BMW;5-Series;2020;5399999;https://auto.drom.ru/kazan/bmw/5-series/53617294.html;;;;;Казани;бензин, 2.0 л;252 л.с., налог;АКПП;4WD;седан;белый;49 100 км;левый;7 поколение, рестайлинг;530i AT xDrive;;;
BMW;X3;2020;4290000;https://auto.drom.ru/kazan/bmw/x3/900016164.html;;;;;Казани;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;;синий;104 318 км;левый;3 поколение;xDrive 20d AT Base;;;
BMW;5-Series;2020;5348000;https://auto.drom.ru/moscow/bmw/5-series/532042764.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;седан;черный;48 601 км;левый;7 поколение;;;;
BMW;3-Series;2020;2680000;https://auto.drom.ru/soligorsk/bmw/3-series/379468421.html;;;;;Солигорске;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;универсал;черный;98 000 км;левый;7 поколение;;;;
BMW;X3;2020;4250000;https://auto.drom.ru/spb/bmw/x3/138097951.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л;184 л.с., налог;АКПП;4WD;;черный;64 884 км;левый;3 поколение;;;;
BMW;X3;2020;3435383;https://auto.drom.ru/minsk/bmw/x3/53826509.html;;;;;Минске;бензин, 2.0 л;249 л.с., налог;АКПП;4WD;;серебристый;24 000 км;левый;3 поколение;xDrive 30i AT M Sport;;;
BMW;3-Series;2020;3700000;https://auto.drom.ru/kazan/bmw/3-series/390607385.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Казани;бензин, 2.0 л;184 л.с., налог;АКПП;4WD;седан;серый;72 000 км;левый;7 поколение;320i AT xDrive M Sport;;;
BMW;X3;2020;4237405;https://auto.drom.ru/spb/bmw/x3/593887597.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;;черный;104 077 км;левый;3 поколение;;;;
