Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Тип кузова;Цвет;Пробег;Руль;Поколение;Комплектация;Особые отметки;
BMW;X5;2013;2579000;https://auto.drom.ru/spb/bmw/x5/625985588.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 3.0 л;245 л.с., налог;АКПП;4WD;;серый;241 000 км;левый;2 поколение, рестайлинг;;;
BMW;X3;2013;1950000;https://auto.drom.ru/moscow/bmw/x3/201623424.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;184 л.с., налог;АКПП;4WD;;коричневый;209 000 км;левый;2 поколение;;;
BMW;4-Series;2013;2199789;https://auto.drom.ru/spb/bmw/4-series/156895131.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л;245 л.с., налог;АКПП;4WD;купе;синий;182 389 км;левый;1 поколение;428i AT xDrive;;
BMW;3-Series;2013;1200000;https://auto.drom.ru/ryazan/bmw/3-series/54119976.html;;;;;Рязани;бензин, 2.0 л;156 л.с., налог;АКПП;задний;купе;синий;143 568 км;левый;5 поколение, рестайлинг;320i AT;;
BMW;3-Series;2013;1819000;https://auto.drom.ru/spb/bmw/3-series/54118537.html;Характеристики совпадают с ПТС;6 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 2.0 л;184 л.с., налог;АКПП;4WD;седан;коричневый;233 185 км;левый;6 поколение;;;
BMW;X3;2013;1870000;https://auto.drom.ru/kazan/bmw/x3/54112046.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Казани;дизель, 2.0 л;184 л.с., налог;АКПП;4WD;;белый;264 400 км;левый;2 поколение;;;
BMW;X1;2013;1650000;https://auto.drom.ru/moscow/bmw/x1/53825511.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;4WD;;серебристый;162 500 км;левый;1 поколение, рестайлинг;xDrive20i AT;;
BMW;3-Series;2013;1682000;https://auto.drom.ru/moscow/bmw/3-series/53820735.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;245 л.с., налог;автомат;задний;лифтбек;черный;133 300 км;левый;;;;
BMW;5-Series;2013;1750000;https://auto.drom.ru/moscow/bmw/5-series/670807006.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;245 л.с., налог;АКПП;задний;седан;белый;115 177 км;левый;6 поколение;;;
BMW;1-Series;2013;1449000;https://auto.drom.ru/yaroslavl/bmw/1-series/429946530.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Ярославле;бензин, 1.6 л;136 л.с., налог;АКПП;задний;хэтчбек 5 дв.;черный;97 135 км;левый;2 поколение;116i AT Sport Line;;
BMW;1-Series;2013;1245000;https://auto.drom.ru/yaroslavl/bmw/1-series/803572851.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Ярославле;бензин, 1.6 л;136 л.с., налог;АКПП;задний;хэтчбек 5 дв.;черный;163 833 км;левый;2 поколение;116i AT Base;;
BMW;X6;2013;2900000;https://auto.drom.ru/moscow/bmw/x6/847346331.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 3.0 л;306 л.с., налог;АКПП;4WD;;черный;92 183 км;левый;1 поколение, рестайлинг;;;
BMW;X5;2013;2464000;https://auto.drom.ru/moscow/bmw/x5/54107128.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;245 л.с., налог;АКПП;4WD;;черный;151 565 км;левый;2 поколение, рестайлинг;;;
BMW;X3;2013;2009000;https://auto.drom.ru/moscow/bmw/x3/54107123.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;184 л.с., налог;АКПП;4WD;;серый;108 132 км;левый;2 поколение;;;
BMW;3-Series;2013;1850000;https://auto.drom.ru/moscow/bmw/3-series/114914162.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;184 л.с., налог;АКПП;4WD;седан;белый;92 000 км;левый;6 поколение;320d AT xDrive Luxury Line;;
BMW;3-Series Gran Turismo;2013;2395000;https://auto.drom.ru/kirov/bmw/3-series_gran_turismo/40861025.html;;;;;Кирове;бензин, 2.0 л;184 л.с., налог;АКПП;4WD;;черный;115 000 км;левый;6 поколение;320i AT xDrive Luxury Line;;
BMW;5-Series;2013;1929789;https://auto.drom.ru/spb/bmw/5-series/104425065.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 2.0 л;184 л.с., налог;АКПП;задний;седан;черный;164 501 км;левый;6 поколение;;;
