Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Тип кузова;Цвет;Пробег;Руль;Поколение;Комплектация;
BMW;X3;2019;4045000;https://auto.drom.ru/spb/bmw/x3/52354845.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 3.0 л;265 л.с., налог;автомат;4WD;;черный;89 000 км;левый;;;
BMW;X5;2019;5950000;https://auto.drom.ru/kaluga/bmw/x5/52352601.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Калуге;дизель, 3.0 л;265 л.с., налог;АКПП;4WD;;черный;159 600 км;левый;4 поколение;;
BMW;5-Series;2019;4120000;https://auto.drom.ru/moscow/bmw/5-series/803116965.html;;;;;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;задний;седан;синий;66 000 км, без пробега по РФ;левый;7 поколение;520d AT Executive;
BMW;5-Series;2019;3495000;https://auto.drom.ru/moscow/bmw/5-series/290050737.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;265 л.с., налог;АКПП;4WD;универсал;серый;108 817 км;левый;7 поколение;530d AT xDrive;
BMW;5-Series;2019;4350000;https://auto.drom.ru/moscow/bmw/5-series/499528725.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;231 л.с., налог;АКПП;задний;седан;серый;68 000 км;левый;7 поколение;525d AT;
BMW;5-Series;2019;4500000;https://auto.drom.ru/yaroslavl/bmw/5-series/443324449.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Ярославле;бензин, 2.0 л;249 л.с., налог;АКПП;4WD;седан;серый;78 000 км;левый;7 поколение;530i AT xDrive Luxury;
BMW;X5;2019;7200000;https://auto.drom.ru/minsk/bmw/x5/487105274.html;;;;;Минске;дизель, 3.0 л;400 л.с., налог;АКПП;4WD;;серый;123 000 км;левый;4 поколение;xDrive M50d AT M Special;
BMW;X3;2019;4670000;https://auto.drom.ru/moscow/bmw/x3/810490508.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Есть ограничения;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;серый;97 968 км;левый;3 поколение;;
BMW;1-Series;2019;2795000;https://auto.drom.ru/spb/bmw/1-series/53711076.html;;;;;Санкт-Петербурге;бензин, 1.5 л;140 л.с., налог;робот;передний;хэтчбек 5 дв.;красный;43 000 км, без пробега по РФ;левый;3 поколение;118i SAT M Sport;
BMW;X1;2019;3169000;https://auto.drom.ru/moscow/bmw/x1/864697628.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;192 л.с., налог;автомат;4WD;;белый;62 000 км;левый;2 поколение;;
BMW;X5;2019;7880000;https://auto.drom.ru/ivanovo/bmw/x5/440945099.html;;;;;Иваново;дизель, 3.0 л;400 л.с., налог;АКПП;4WD;;белый;54 724 км;левый;4 поколение;;
BMW;X4;2019;5550000;https://auto.drom.ru/moscow/bmw/x4/461620960.html;;;;;Москве;бензин, 2.0 л;252 л.с., налог;автомат;4WD;;синий;42 680 км, без пробега по РФ;левый;2 поколение;;
